href,disease_type,keyword
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,"Мальформация головного
                        мозга"
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Медуллобластома
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Менингиома головного мозга
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Менингиома спинного мозга
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Менингоцеле (ликворная подушка)
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Невралгия тройничного нерва
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Невринома слухового нерва
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Невринома спинного мозга
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Повреждение периферических нервов
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,"Пролактинома
                        (гиперпролактинемия)"
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Сирингомиелия
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Сколиоз
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,"Спастический
                        синдром"
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,"Стеноз позвоночного (спинального)
                        канала"
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,"Субдуральная гематома головного
                        мозга"
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Субдуральная эмпиема
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Хордома
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Хордома основания черепа
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,"Хронический спинальный болевой
                        синдром"
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Цервикальная дистония
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Эмпиема спинного мозга
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Эпендимобластома
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Эпендимома
